,start,end,id,text,tag_type_id,tag_type,catma_markupauthor,catma_markuptimestamp,catma_displaycolor,Belegung,Art,Bestimmung_Umfeld
0,0,3979,no_annotation_0,"#######################

Seite 32

Westpfahl   Spilker   Wastl  München  - 21 -    von der Schaffung eines Betroffenen(bei)rates und der niederschwelligen In- teressenvertretung für Missbrauchsbetroffene über die Forderung nach der  Etablierung eines unabhängigen Interventionsbeauftragten/einer unabhängi- gen Interventionsbeauftragten, bis hin zu Stärkung der Rolle der Frauen in  kirchlichen Leitungsfunktionen, aber auch darüber hinaus.   Jedoch wollen die Berichterstatter auf drei der zentralen Empfehlungen  schon an dieser Stelle näher eingehen, um damit deren Bedeutung gerecht  zu werden.  Stärkung der Rolle der Frauen   Zunächst ist darauf zurückzukommen, dass einer, der aus Sicht der bislang  primär mit deutschen (Erz)Diözesen befassten Berichterstatter überraschen- den Befunde darin besteht, dass im Bereich der Diözese Bozen-Brixen die Be- troffenen ganz überwiegend weiblich waren/sind. Dies könnte auch eine der  Ursachen dafür sein, dass – und das ist das weitere überraschende Ergebnis  – sich im Rahmen der seitens der Berichterstatter etablierten unabhängigen  Anlaufstelle für Zeitzeugen und Betroffene ganz überwiegend Frauen gemel- det haben. Umso bemerkenswerter ist dieses Ergebnis, als es sich hierbei  keineswegs „nur“ um Betroffene handelte, sondern schlicht und ergreifend  um Persönlichkeiten, die sich mit dem Phänomen des sexuellen Missbrauchs  nicht abfinden und insbesondere auch nicht akzeptieren wollen, dass derar- tige Themen totgeschwiegen oder jedenfalls nicht adäquat behandelt wer- den. Nach Einschätzung der Berichterstatter ist dies ein gerade auch für Süd- tirol interessanter Befund.   Er spricht darüber hinaus nicht nur dafür, Frauen, die am Thema des sexuel- len Missbrauchs und dessen Beseitigung interessiert sind, noch stärker an  

#######################

Seite 33

Westpfahl   Spilker   Wastl  München  - 22 -    der Aufklärung sowie der Aufarbeitung und der Prävention in diesem Bereich  zu beteiligen. Soweit die Berichterstatter dies mit der Forderung „Stärkung  der Rolle der Frauen in kirchlichen Leitungsfunktionen“ verknüpft haben, ist  dies wahrlich nur die halbe Wahrheit. Nach den seitens der Berichterstatter  gewonnenen Erfahrungen sind es gerade die Frauen, ob nun betroffen oder  nicht, die das Thema sexueller Missbrauch offenkundig weit besser verste- hen, als offenkundig oftmals ihre männlichen Pendants.   Dieses tiefe Verständnis zu nutzen und damit insbesondere auch einen zwin- gend erforderlichen empathischen Zugang zu den Betroffenen und ihrem  Schicksal zu finden, erscheint in stärkerem Maße geboten („Mut zum Hinhö- ren“). Darüber hinaus gehen die Berichterstatter aufgrund der gemachten Er- fahrungen davon aus, dass dies auch den Zugang und das Verständnis der  spezifischen Situation von Betroffenen fördert („Mut zum Verstehen“). Ge- rade auch die ergebnisoffene Kommunikation mit Frauen zu diesem Thema  stellt nach den seitens der Berichterstatter gewonnenen Erkenntnissen einen  der wesentlichen Schlüssel zum Erfolg mit Blickrichtung auf eine umfassende  Prävention und damit die weitestmögliche Verhinderung des sexuellen Miss- brauchs von Kindern und Schutzbefohlenen dar.   All dies ändert jedoch nichts daran, dass es gerade auch aus Sicht der Kirche  sinnvoll sein könnte und aus Sicht der Berichterstatter zwingend geboten  wäre, Frauen endlich denjenigen Status auch im kirchlichen Bereich zuzuer- kennen, der ihnen nicht nur aufgrund ihrer besonderen persönlichen und em- pathischen Fähigkeiten gebührt.      

#######################

Seite 53

Westpfahl   Spilker   Wastl  München  - 42 -    Ebenfalls anzuführen ist die Rechtsordnung des geschlossenen Hofes, die  Frauen von der Hofübernahme in den meisten Fällen ausschloss.   Diese gesetzlichen Minderstellungen von Frauen wurden verstärkt durch die  öffentlich tolerierte Moral, die Mädchen und Frauen zu Gehorsam, Verzicht  und Unterordnung verpflichtete. Eine eigene sexuelle Identität wurde ihnen  nicht zugebilligt. ",,,,,,,,
1,3979,3992,B-1,Verheiratete ,CATMA_7C23CC13-B5FE-4F69-AAB7-935F31D614C3,Start,Mhuerten,2025-05-06T14:04:36.871+0200,-399266,,,
2,3992,4200,no_annotation_1,"Frauen hatten entsprechend dem kirchlich ge- prägten Ideal der Frau als Mutter die moralisch kirchlich gebotene Pflicht zu  vielen Geburten, auf deren Einhaltung die kirchlichen Vertreter vor Ort dräng- ten. ",,,,,,,,
3,4200,4229,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,So kam es laut Zeitzeugen in ,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
4,4200,4229,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,So kam es laut Zeitzeugen in ,CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
5,4229,4260,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,"ländlichen Gebieten sogar vor, ",CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
6,4229,4260,CATMA_93EE5B3A-C165-4FE5-AF27-8DB29409A0CE,"ländlichen Gebieten sogar vor, ",CATMA_651A25AF-4812-44F4-93CD-2E2762CA7948,Betroffene,Mhuerten,2025-06-14T18:27:41.345+0200,-15895942,indirekt,,
7,4260,4270,CATMA_2712EB22-43A6-4B30-9262-3C13E02D8E3D,dass der  ,CATMA_41E25707-120D-432A-8B27-0E0D8B0E02C4,Umfeld,Mhuerten,2025-06-14T18:27:55.803+0200,-3237659,indirekt,,
8,4260,4270,CATMA_2BA5C2FD-C740-4036-ACC0-ABE20BA75674,dass der  ,CATMA_694236AD-35A4-493B-B295-5526303EA538,Pfarrei,Mhuerten,2025-06-14T18:29:36.924+0200,-8672679,,,
9,4260,4270,CATMA_1CDB46FD-65A5-4569-8A1B-F5D0BFBDE5D0,dass der  ,CATMA_3682F6D4-14B9-4D91-A8A9-61D24BC6A908,reproduktiv,Mhuerten,2025-06-14T18:30:11.167+0200,-10110086,,,
