,Anbahnung,Durchführung,Geständnis,Schritte der Wiedergutmachung,Sonstige Vertuschung,Vertuschung,Weiteres Handeln der Beschuldigten,Sum
Dummheit,0,0,0,0,0,2,0,2
Gefahr für priesterliches Ansehen,0,0,0,0,0,1,0,1
Kirchenrechtlich,2,1,2,0,1,0,1,7
Liebesbeziehung,1,1,1,1,0,1,1,6
Missbrauch,3,2,3,1,2,2,2,15
Schutz- und Hilfsbedürftigkeit,1,1,1,0,1,0,1,5
Strafrechtlich,3,2,2,0,1,1,1,10
Verhältnis nicht weiter spezifiziert,0,0,1,1,0,2,0,4
Verstoß gegen 6. Gebot,1,1,1,0,1,0,1,5
Weitere Framings,1,1,1,0,1,1,1,6
Zölibatsverstoß,0,0,0,0,0,0,1,1
der Frau,0,0,0,0,0,1,0,1
durch Frau,1,1,2,0,1,0,1,6
moralische Verurteilung,1,1,1,0,1,1,1,6
sexuelle Handlungen,0,0,0,0,0,0,0,0
unerheblich,1,1,1,1,1,3,1,9
verklausuliert,1,1,1,0,1,1,1,6
"Übergriff, Gewalt etc.",1,1,1,0,1,0,1,5
Sum,17,14,18,4,12,16,14,95
