,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Druck/Zwang,1,1,1,0,0,1,0,0,0,0,0,4
"Entschädigung, Wiedergutmachung etc.",0,0,0,0,0,0,0,0,0,0,0,0
Loyalität mit dem Täter,1,2,1,0,0,3,0,0,1,0,1,9
"Maßnahme, Strafe",1,4,3,0,0,3,0,0,6,0,3,20
Neutralisierung,1,1,1,0,0,1,0,0,0,0,0,4
Schweigegebot,1,1,1,0,0,1,0,0,0,0,0,4
Solidarisierung mit Betroffenen,0,1,0,0,0,1,0,0,1,0,0,3
Verschleierung,1,1,1,0,0,2,0,0,2,0,0,7
Verzögerung,1,1,1,0,0,1,0,0,1,0,0,5
Victim Blaming (Bistum),1,1,1,0,0,1,0,0,0,0,0,4
Vorgehen allgemein,1,2,2,0,0,3,0,0,3,0,3,14
keine Konsequenzen,1,2,2,0,0,3,0,0,4,0,2,14
Sum,10,17,14,0,0,20,0,0,18,0,9,88
