,Beichte,Bildung,Dienstverhältnis,Geistliche Begleitung,Geistliche Gemeinschaften,Jugendarbeit,Kategoriale Seelsorge,Orden,Pfarrei,Seelsorge,weitere Tatkonstellationen,Sum
Berührungen,1,2,2,0,0,4,0,0,4,0,1,14
Entblößen des eigenen Körpers,0,0,0,0,0,0,0,0,0,0,0,0
Penetration,1,2,1,0,0,2,0,0,2,0,0,8
Sprache/Gesten/Aufforderungen,1,2,2,0,0,2,0,0,2,0,1,10
Verhältnis,0,0,0,0,0,0,0,0,2,0,1,3
nicht spezifizierte Taten,1,2,2,1,2,2,0,2,2,1,2,17
reproduktiv,0,0,0,0,0,0,0,0,1,0,1,2
spirituell,1,1,1,1,1,1,0,1,1,0,0,8
weitere Vorwürfe,1,3,3,0,0,1,0,0,4,1,3,16
Sum,6,12,11,2,3,12,0,3,18,2,9,78
