,Druck/Zwang,"Entschädigung, Wiedergutmachung etc.",Loyalität mit dem Täter,"Maßnahme, Strafe",Neutralisierung,Schweigegebot,Solidarisierung mit Betroffenen,Verschleierung,Verzögerung,Victim Blaming (Bistum),Vorgehen allgemein,keine Konsequenzen,Sum
Druck/Zwang,1,0,1,1,1,1,0,1,1,1,1,1,10
"Entschädigung, Wiedergutmachung etc.",0,1,0,0,0,0,0,0,1,0,1,1,4
Loyalität mit dem Täter,1,0,4,3,1,1,1,1,1,1,3,3,20
"Maßnahme, Strafe",1,0,3,18,3,1,1,2,3,1,12,9,54
Neutralisierung,1,0,1,3,5,1,0,1,1,1,4,3,21
Schweigegebot,1,0,1,1,1,1,0,1,1,1,1,1,10
Solidarisierung mit Betroffenen,0,0,1,1,0,0,1,0,0,0,0,0,3
Verschleierung,1,0,1,2,1,1,0,3,2,1,2,3,17
Verzögerung,1,1,1,3,1,1,0,2,5,1,3,4,23
Victim Blaming (Bistum),1,0,1,1,1,1,0,1,1,1,1,1,10
Vorgehen allgemein,1,1,3,12,4,1,0,2,3,1,18,11,57
keine Konsequenzen,1,1,3,9,3,1,0,3,4,1,11,15,52
Sum,10,4,20,54,21,10,3,17,23,10,57,52,281
