,Meldung,Reaktion,Tat,weitere Zeitangaben,Sum
Dummheit,0,0,0,0,0
Gefahr für priesterliches Ansehen,0,0,0,0,0
Kirchenrechtlich,0,0,0,0,0
Liebesbeziehung,0,0,1,0,1
Missbrauch,2,0,0,0,2
Schutz- und Hilfsbedürftigkeit,0,0,0,0,0
Strafrechtlich,0,0,0,0,0
Verhältnis nicht weiter spezifiziert,0,0,0,0,0
Verstoß gegen 6. Gebot,0,0,0,0,0
Weitere Framings,0,0,0,0,0
Zölibatsverstoß,0,0,0,0,0
der Frau,0,0,0,0,0
durch Frau,0,0,0,0,0
moralische Verurteilung,0,0,1,0,1
sexuelle Handlungen,0,0,0,0,0
unerheblich,0,0,0,0,0
verklausuliert,0,0,0,0,0
"Übergriff, Gewalt etc.",1,0,6,0,7
Sum,3,0,8,0,11
