,term,frequency,percentage
0,müssen,3,3.03
1,hätten,2,2.02
2,23.11.2010,2,2.02
3,verfolgungsverjährung,2,2.02
4,eingetretener,2,2.02
5,§,2,2.02
6,170,2,2.02
7,abs,2,2.02
8,gemäß,2,2.02
9,2,2,2.02
10,inhalt,2,2.02
11,eingestellt,2,2.02
12,hätte,2,2.02
13,stpo,2,2.02
14,wurde,2,2.02
15,jahr,2,2.02
16,2000,2,2.02
17,aufgrund,2,2.02
18,bereits,2,2.02
19,strafbaren,2,2.02
20,verneinte,2,2.02
21,wb,1,1.01
22,bongartz,1,1.01
23,zuzustimmen,1,1.01
24,nachforschungen,1,1.01
25,anlass,1,1.01
26,weitergehende,1,1.01
27,textpassage,1,1.01
28,ermittlungsbehörden,1,1.01
29,strafverfolgungsbehörde,1,1.01
30,ermittelnde,1,1.01
31,geben,1,1.01
32,wiederum,1,1.01
33,protokolls,1,1.01
34,hinweise,1,1.01
35,genauer,1,1.01
36,lektüre,1,1.01
37,beschuldigten,1,1.01
38,erkennen,1,1.01
39,weiterführende,1,1.01
40,recher-,1,1.01
41,chen,1,1.01
42,sinne,1,1.01
43,weitere,1,1.01
44,delikte,1,1.01
45,polizei,1,1.01
46,anzeige,1,1.01
47,jedoch,1,1.01
48,troffene,1,1.01
49,be-,1,1.01
50,erstattete,1,1.01
51,später,1,1.01
52,nachfragen,1,1.01
53,ermittlungsergebnissen,1,1.01
54,bistum,1,1.01
55,et,1,1.01
56,mel-,1,1.01
57,staatsanwaltschaft,1,1.01
58,gemacht,1,1.01
59,erforderlich,1,1.01
60,sachverhalts,1,1.01
61,bewertung,1,1.01
62,angemessenen,1,1.01
63,zeugen-,1,1.01
64,vernehmung,1,1.01
65,verfahren,1,1.01
66,frage,1,1.01
67,hin-,1,1.01
68,sichtlich,1,1.01
69,verhalten,1,1.01
70,strafbares,1,1.01
71,chat-protokollen,1,1.01
72,er-,1,1.01
73,strafrecht,1,1.01
74,fachanwältin,1,1.01
75,gebe,1,1.01
76,konsultiert,1,1.01
