,term,frequency,percentage
0,jahre,30,10.49
1,2010,14,4.895
2,mitte,13,4.545
3,1970er,11,3.846
4,1993,10,3.497
5,1960er,10,3.497
6,anfang,8,2.797
7,ende,8,2.797
8,1980er,6,2.098
9,1997,6,2.098
10,1991,5,1.748
11,1989,4,1.399
12,1987,4,1.399
13,1990er,3,1.049
14,2020er,3,1.049
15,2016,3,1.049
16,darüber,2,0.699
17,sexuellen,2,0.699
18,gemeldet,2,0.699
19,berichtet,2,0.699
20,damaligen,2,0.699
21,april,2,0.699
22,beginn,2,0.699
23,2015,2,0.699
24,4.03.2010,2,0.699
25,1984,2,0.699
26,ab,2,0.699
27,missbrauch,2,0.699
28,jahren,2,0.699
29,jahr,2,0.699
30,26.11.1982,2,0.699
31,2007,2,0.699
32,2009,2,0.699
33,2013,2,0.699
34,2008,2,0.699
35,2002,2,0.699
36,frau,2,0.699
37,1982,2,0.699
38,anzuzeigen,1,0.35
39,trauten,1,0.35
40,aufgrund,1,0.35
41,nied-,1,0.35
42,rigen,1,0.35
43,sozialen,1,0.35
44,stellung,1,0.35
45,nie,1,0.35
46,berichtete,1,0.35
47,beschwert,1,0.35
48,hätte,1,0.35
49,gruppenleiterin,1,0.35
50,weibliche,1,0.35
51,priester,1,0.35
52,p,1,0.35
53,bestätigten,1,0.35
54,fernsehdokumentation,1,0.35
55,1999–2003,1,0.35
56,sexuelle,1,0.35
57,erlittene,1,0.35
58,handlungen,1,0.35
59,gegenüber,1,0.35
60,begangen,1,0.35
61,anton,1,0.35
62,r,1,0.35
63,herrn,1,0.35
64,supervisor,1,0.35
65,belästigung,1,0.35
66,2.02.2010,1,0.35
67,kommt,1,0.35
68,14-jähriges,1,0.35
69,erlittenen,1,0.35
70,2010er,1,0.35
71,meldete,1,0.35
72,schulzeit,1,0.35
73,zen-brixen,1,0.35
74,diözese,1,0.35
75,bo-,1,0.35
76,ombudsstelle,1,0.35
77,betroffene,1,0.35
78,vorwürfen,1,0.35
79,prüfung,1,0.35
80,tragten,1,0.35
81,beauf-,1,0.35
82,b,1,0.35
83,religionslehrerin,1,0.35
84,karin,1,0.35
85,mädchen,1,0.35
86,25.03.1997,1,0.35
87,2006,1,0.35
88,missbrauchs,1,0.35
89,minderjähriger,1,0.35
90,bistums,1,0.35
91,hildesheim,1,0.35
92,geistliche,1,0.35
93,dienst,1,0.35
94,großmutter,1,0.35
95,ermutigt,1,0.35
96,rat,1,0.35
97,sprechen,1,0.35
98,16.11.2010,1,0.35
99,1985,1,0.35
100,entschließt,1,0.35
101,folgt,1,0.35
102,k,1,0.35
103,1.04.2010,1,0.35
104,9.08.2010,1,0.35
105,erzählt,1,0.35
106,therapeuten,1,0.35
107,therapeut,1,0.35
108,dk,1,0.35
109,bongartz,1,0.35
110,23.11.1982,1,0.35
111,ren,1,0.35
112,füh-,1,0.35
113,gespräch,1,0.35
114,vater,1,0.35
115,informiert,1,0.35
116,dechanten,1,0.35
117,mehr,1,0.35
118,21.05.2007,1,0.35
119,1990er-jahren,1,0.35
120,drei,1,0.35
121,1958,1,0.35
122,vergangenen,1,0.35
123,1999,1,0.35
124,nun-,1,0.35
125,or,1,0.35
126,jah,1,0.35
127,oktober,1,0.35
128,2017,1,0.35
129,angezeigt,1,0.35
130,ine,1,0.35
131,1995,1,0.35
132,sowohl,1,0.35
133,kindheit,1,0.35
134,e,1,0.35
135,m,1,0.35
136,erlebte,1,0.35
137,übergriffe,1,0.35
138,grenzüberschreitendem,1,0.35
139,verhalten,1,0.35
140,priesters,1,0.35
141,erwachsenenalter,1,0.35
