term,frequency,percentage
müssen,3,3.03
hätten,2,2.02
23.11.2010,2,2.02
verfolgungsverjährung,2,2.02
eingetretener,2,2.02
§,2,2.02
170,2,2.02
abs,2,2.02
gemäß,2,2.02
2,2,2.02
inhalt,2,2.02
eingestellt,2,2.02
hätte,2,2.02
stpo,2,2.02
wurde,2,2.02
jahr,2,2.02
2000,2,2.02
aufgrund,2,2.02
bereits,2,2.02
strafbaren,2,2.02
verneinte,2,2.02
wb,1,1.01
bongartz,1,1.01
zuzustimmen,1,1.01
nachforschungen,1,1.01
anlass,1,1.01
weitergehende,1,1.01
textpassage,1,1.01
ermittlungsbehörden,1,1.01
strafverfolgungsbehörde,1,1.01
ermittelnde,1,1.01
geben,1,1.01
wiederum,1,1.01
protokolls,1,1.01
hinweise,1,1.01
genauer,1,1.01
lektüre,1,1.01
beschuldigten,1,1.01
erkennen,1,1.01
weiterführende,1,1.01
recher-,1,1.01
chen,1,1.01
sinne,1,1.01
weitere,1,1.01
delikte,1,1.01
polizei,1,1.01
anzeige,1,1.01
jedoch,1,1.01
troffene,1,1.01
be-,1,1.01
erstattete,1,1.01
später,1,1.01
nachfragen,1,1.01
ermittlungsergebnissen,1,1.01
bistum,1,1.01
et,1,1.01
mel-,1,1.01
staatsanwaltschaft,1,1.01
gemacht,1,1.01
erforderlich,1,1.01
sachverhalts,1,1.01
bewertung,1,1.01
angemessenen,1,1.01
zeugen-,1,1.01
vernehmung,1,1.01
verfahren,1,1.01
frage,1,1.01
hin-,1,1.01
sichtlich,1,1.01
verhalten,1,1.01
strafbares,1,1.01
chat-protokollen,1,1.01
er-,1,1.01
strafrecht,1,1.01
fachanwältin,1,1.01
gebe,1,1.01
konsultiert,1,1.01
