term,frequency,percentage
sei,12,2.878
p,11,2.638
anton,10,2.398
frau,5,1.199
vorwürfe,5,1.199
leugnet,4,0.959
sexuellen,4,0.959
erklärte,3,0.719
übergriffe,3,0.719
wolle,3,0.719
mädchen,3,0.719
darin,3,0.719
beschuldigte,3,0.719
priester,3,0.719
großeltern,3,0.719
jahre,2,0.48
jungen,2,0.48
bistum,2,0.48
u,2,0.48
denen,2,0.48
entlassung,2,0.48
missbrauch,2,0.48
spricht,2,0.48
gemeinde,2,0.48
wurden,2,0.48
zeit,2,0.48
last,2,0.48
gelegten,2,0.48
verhalten,2,0.48
erlaubnis,2,0.48
s,1,0.24
gefragt,1,0.24
verlangen,1,0.24
wiederum,1,0.24
reagierte,1,0.24
vereinzelt,1,0.24
verspätet,1,0.24
pfar-,1,0.24
tut,1,0.24
geschehen,1,0.24
folgezeit,1,0.24
besuchen,1,0.24
bringt,1,0.24
teure,1,0.24
geschenke,1,0.24
erinnern,1,0.24
bekannt,1,0.24
anzeigenerstatterin,1,0.24
bereits,1,0.24
vergangenheit,1,0.24
unbegründete,1,0.24
mehrere,1,0.24
personen,1,0.24
erhoben,1,0.24
ie,1,0.24
erhobenen,1,0.24
zurückgewiesen,1,0.24
vorfälle“,1,0.24
liebe,1,0.24
eh,1,0.24
niemand,1,0.24
glauben,1,0.24
ja,1,0.24
verliebt,1,0.24
gibt,1,0.24
alter,1,0.24
16-18,1,0.24
jahren,1,0.24
gab,1,0.24
abend,1,0.24
hand,1,0.24
versöhnung,1,0.24
reichen,1,0.24
eindruck,1,0.24
vermittelte,1,0.24
schwul,1,0.24
bitte,1,0.24
orden,1,0.24
3.04.1995,1,0.24
mitteilung,1,0.24
bischof,1,0.24
homeyer,1,0.24
bereit,1,0.24
inkardinieren,1,0.24
15.04.1995,1,0.24
jesuitenorden,1,0.24
17.11.1995,1,0.24
inkardination,1,0.24
hildesheim,1,0.24
helfen,1,0.24
körper,1,0.24
kennenzulernen,1,0.24
sympathie,1,0.24
ausdrücken,1,0.24
r,1,0.24
schulunterricht,1,0.24
benötigen,1,0.24
nachdem,1,0.24
vorgeworfenen,1,0.24
geleugnet,1,0.24
unschuld,1,0.24
betont,1,0.24
»nichts,1,0.24
abarti-,1,0.24
ges«,1,0.24
gesehen,1,0.24
unterstellt,1,0.24
wunsch,1,0.24
körperlicher,1,0.24
nähe,1,0.24
ausgegangen,1,0.24
verweist,1,0.24
schwere,1,0.24
kindheit,1,0.24
deutet,1,0.24
vater,1,0.24
deshalb,1,0.24
»psychisch,1,0.24
angeschlagen«,1,0.24
schreibt,1,0.24
nächs-,1,0.24
ten,1,0.24
tagen,1,0.24
briefe,1,0.24
aschemann,1,0.24
sachverhalt,1,0.24
sicht,1,0.24
darzustellen,1,0.24
sinngemäß,1,0.24
»psycho-clan«,1,0.24
frauen,1,0.24
sug-,1,0.24
geriere,1,0.24
bittet,1,0.24
zumindest,1,0.24
aufschub,1,0.24
entpflichtung,1,0.24
aufgaben,1,0.24
»guten,1,0.24
hirten«,1,0.24
vielfalt,1,0.24
geplanten,1,0.24
aktivitäten,1,0.24
begründet,1,0.24
strategie,1,0.24
be-,1,0.24
reits,1,0.24
1995,1,0.24
gewünschten,1,0.24
erfolg,1,0.24
geführt,1,0.24
dabei,1,0.24
som-,1,0.24
merferien,1,0.24
»mit,1,0.24
zwei,1,0.24
großen,1,0.24
gruppen,1,0.24
kindern,1,0.24
unterwegs«,1,0.24
zugab,1,0.24
bzw,1,0.24
herunterspielte,1,0.24
nton,1,0.24
bestreitet,1,0.24
weiterhin,1,0.24
darstellungen,1,0.24
u.s,1,0.24
ende,1,0.24
gottesdienstes,1,0.24
teilt,1,0.24
40,1,0.24
gesundheitlichen,1,0.24
gründen,1,0.24
verlässt,1,0.24
voll,1,0.24
ganz,1,0.24
diakon,1,0.24
n,1,0.24
äußert,1,0.24
interview,1,0.24
ein-,1,0.24
druck,1,0.24
teuren,1,0.24
anschaffungen,1,0.24
»system,1,0.24
belohnung«,1,0.24
errichtete,1,0.24
seite,1,0.24
standen,1,0.24
verstrickt,1,0.24
zurücklägen,1,0.24
annahme,1,0.24
wonach,1,0.24
betroffene,1,0.24
sexualisierter,1,0.24
gewalt,1,0.24
mitwisser,1,0.24
mithilfe,1,0.24
»belohnungen«,1,0.24
schweigen,1,0.24
gebracht,1,0.24
drängt,1,0.24
zweifelsfrei,1,0.24
verifiziert,1,0.24
zähle,1,0.24
canisiuskolleg,1,0.24
2010,1,0.24
wiederholt,1,0.24
immer,1,0.24
dy-,1,0.24
namik,1,0.24
innerhalb,1,0.24
unterstützung,1,0.24
menschen,1,0.24
rechnen,1,0.24
konnte,1,0.24
seelsorgerischen,1,0.24
engagements,1,0.24
teil,1,0.24
geradezu,1,0.24
überhöhten,1,0.24
dahinter,1,0.24
ver-,1,0.24
birgt,1,0.24
klassische,1,0.24
täterstrategie,1,0.24
verstrickung,1,0.24
näheren,1,0.24
umfelds,1,0.24
unent-,1,0.24
behrlichmachens,1,0.24
»kämpferischen,1,0.24
verbrüderung«,1,0.24
sinne,1,0.24
»wir,1,0.24
die«,1,0.24
wenig,1,0.24
überraschend,1,0.24
sämtliche,1,0.24
sic,1,0.24
herum,1,0.24
taten,1,0.24
leugnete,1,0.24
zu-,1,0.24
mindest,1,0.24
fall,1,0.24
belegbar,1,0.24
gerichteten,1,0.24
viele,1,0.24
nutzte,1,0.24
junge,1,0.24
massiv,1,0.24
agitieren,1,0.24
wobei,1,0.24
erneut,1,0.24
schamgrenzen,1,0.24
überschritt,1,0.24
verschwörungstheorien,1,0.24
entwickelte,1,0.24
anhörung,1,0.24
fälle,1,0.24
beziehung,1,0.24
probleme,1,0.24
schützen,1,0.24
lebt,1,0.24
sorgeberechtigt,1,0.24
öffnet,1,0.24
gegenüber,1,0.24
loyalität,1,0.24
konkurriert,1,0.24
verletztheit,1,0.24
–,1,0.24
vertraut,1,0.24
offensichtlich,1,0.24
darauf,1,0.24
nächsten,1,0.24
tag,1,0.24
jedoch,1,0.24
nie,1,0.24
geschlechtsverkehr,1,0.24
gekommen,1,0.24
wies,1,0.24
erklärt,1,0.24
vorgehabt,1,0.24
rer,1,0.24
