term,frequency,percentage
anton,82,2.323
p,74,2.096
wurde,60,1.7
priester,37,1.048
bischof,29,0.822
gespräch,23,0.652
hildesheim,21,0.595
generalvikar,20,0.567
–,20,0.567
jahre,18,0.51
beschuldigten,18,0.51
sei,16,0.453
bistum,16,0.453
homeyer,16,0.453
bongartz,16,0.453
voruntersuchung,14,0.397
weiteren,14,0.397
p.s,13,0.368
dr,13,0.368
aschemann,12,0.34
pfarrer,12,0.34
mehr,12,0.34
beschuldigte,12,0.34
bistums,12,0.34
fall,11,0.312
frau,11,0.312
gemeinde,11,0.312
b,11,0.312
brief,11,0.312
daraufhin,11,0.312
dk,11,0.312
josef,10,0.283
versetzung,10,0.283
folge,10,0.283
michaeler,10,0.283
pfarrei,10,0.283
diözese,10,0.283
holst,9,0.255
wurden,9,0.255
karin,9,0.255
höfer,9,0.255
zunächst,9,0.255
priesters,9,0.255
…,9,0.255
worden,8,0.227
könne,8,0.227
»guter,8,0.227
bozen-brixen,8,0.227
hirt«,8,0.227
betroffenen,7,0.198
damaligen,7,0.198
jedoch,7,0.198
ver-,7,0.198
herrn,7,0.198
be-,7,0.198
notwendig,7,0.198
selben,7,0.198
köln,7,0.198
mutter,6,0.17
d,6,0.17
drei,6,0.17
lassen,6,0.17
art,6,0.17
müssen,6,0.17
tätigkeit,6,0.17
gestellt,6,0.17
sache,6,0.17
2010,6,0.17
ten,6,0.17
erst,6,0.17
dennoch,6,0.17
n,6,0.17
erzbistum,6,0.17
statt,6,0.17
später,6,0.17
kam,6,0.17
immer,6,0.17
missbrauch,6,0.17
u,6,0.17
exklaustration,5,0.142
meldung,5,0.142
vorwürfen,5,0.142
heße,5,0.142
interview,5,0.142
rom,5,0.142
bekannt,5,0.142
vorwürfe,5,0.142
schritte,5,0.142
dabei,5,0.142
behandlung,5,0.142
gegeben,5,0.142
diakon,5,0.142
domkapitular,5,0.142
informiert,5,0.142
kirchenrechtlichen,5,0.142
staatsanwaltschaft,5,0.142
angewiesen,5,0.142
entschieden,5,0.142
rahmen,5,0.142
ebenfalls,5,0.142
eingeleitet,5,0.142
wegen,5,0.142
mädchen,5,0.142
offenbar,5,0.142
fand,5,0.142
strafe,5,0.142
gargitter,5,0.142
jahr,5,0.142
geht,5,0.142
bleiben,5,0.142
großeltern,5,0.142
sowie,5,0.142
k,4,0.113
beschul-,4,0.113
meldepflicht,4,0.113
zwei,4,0.113
gründe,4,0.113
darin,4,0.113
gegenüber,4,0.113
ausland,4,0.113
sst,4,0.113
kloster,4,0.113
erhielt,4,0.113
erzbistums,4,0.113
einschätzung,4,0.113
digten,4,0.113
teilzunehmen,4,0.113
allein,4,0.113
1.04.2010,4,0.113
weiterer,4,0.113
bedenken,4,0.113
wohl,4,0.113
anzeige,4,0.113
aufgrund,4,0.113
vier,4,0.113
wann,4,0.113
zeitpunkt,4,0.113
gebiet,4,0.113
übergriffe,4,0.113
gesprächs,4,0.113
h,4,0.113
rede,4,0.113
gemeldet,4,0.113
sexuellen,4,0.113
jugendarbeit,4,0.113
offizial,4,0.113
erzbischof,4,0.113
sexualisierten,4,0.113
hinsichtlich,4,0.113
darüber,4,0.113
weihbischof,4,0.113
konsequenzen,4,0.113
wobei,4,0.113
missbrauchsbeauftragte,4,0.113
soweit,4,0.113
ersichtlich,4,0.113
jo-,4,0.113
aufgaben,4,0.113
gewalt,4,0.113
anfang,4,0.113
solle,4,0.113
hauptabteilung,4,0.113
18,4,0.113
melden,4,0.113
einsatzort,4,0.113
gegenüberstellung,4,0.113
laut,4,0.113
bisherigen,4,0.113
genommen,4,0.113
ner,4,0.113
schreiben,4,0.113
glaubenskongregation,4,0.113
hätte,4,0.113
darauf,4,0.113
eingesetzt,4,0.113
provinzial,4,0.113
jungen,3,0.085
berichtet,3,0.085
schriftlich,3,0.085
geben,3,0.085
wolfsburg,3,0.085
ge-,3,0.085
allerdings,3,0.085
beim,3,0.085
ax,3,0.085
geführt,3,0.085
unterlagen,3,0.085
mitgeteilt,3,0.085
chen,3,0.085
jesuitenorden,3,0.085
sexueller,3,0.085
entpflichtung,3,0.085
fr,3,0.085
abschließenden,3,0.085
gemeinden,3,0.085
delikte,3,0.085
strafverfahren,3,0.085
danach,3,0.085
könnten,3,0.085
last,3,0.085
enthoben,3,0.085
verantwortungsbereich,3,0.085
canisiuskolleg,3,0.085
beiden,3,0.085
hinweis,3,0.085
vorfall,3,0.085
keinerlei,3,0.085
fehlende,3,0.085
mal,3,0.085
falles,3,0.085
versäumt,3,0.085
geeignet,3,0.085
ebenso,3,0.085
punkt,3,0.085
kongregation,3,0.085
seiten,3,0.085
missbrauchsbeauftragten,3,0.085
dafür,3,0.085
ende,3,0.085
ergebnis,3,0.085
e-mail,3,0.085
bestand,3,0.085
wilhelm,3,0.085
egger,3,0.085
per,3,0.085
schwaderlapp,3,0.085
unterblieb,3,0.085
leiter,3,0.085
monat,3,0.085
e,3,0.085
führt,3,0.085
prof,3,0.085
leygraf,3,0.085
jugendlichen,3,0.085
fürer,3,0.085
nachdem,3,0.085
schwierigkeiten,3,0.085
monate,3,0.085
göttingen,3,0.085
sagte,3,0.085
schreibt,3,0.085
verfahren,3,0.085
er-,3,0.085
aufgehoben,3,0.085
schulleitung,3,0.085
a,3,0.085
münsterschwarzach,3,0.085
stellungnahme,3,0.085
aufhalten,3,0.085
1990er,3,0.085
italienischen,3,0.085
erzdiözese,3,0.085
heute,3,0.085
müsse,3,0.085
kooperator,3,0.085
an-,3,0.085
matzneller,3,0.085
versetzt,3,0.085
entnehmen,3,0.085
1980er,3,0.085
fachgremium,3,0.085
ivo,3,0.085
akte,3,0.085
erfolgte,3,0.085
bereits,3,0.085
teilt,3,0.085
ren,3,0.085
seph,3,0.085
hervor,3,0.085
bereit,3,0.085
2,3,0.085
hinweise,3,0.085
maßnahmen,3,0.085
zeit,3,0.085
götz,3,0.085
möglichkeit,3,0.085
v,3,0.085
gibt,3,0.085
jesuiten,3,0.085
seitens,3,0.085
erfolgt,3,0.085
verlassen,3,0.085
unternommen,3,0.085
schreer,3,0.085
gleich,3,0.085
enthebung,3,0.085
amt,3,0.085
vorläufig,3,0.085
pfarrers,3,0.085
diesbezüglichen,3,0.085
stationär,3,0.085
behan-,3,0.085
deln,3,0.085
sodann,3,0.085
zustand,3,0.085
rapide,3,0.085
klinik,3,0.085
verbracht,3,0.085
somit,3,0.085
protokoll,3,0.085
erklärung,3,0.085
sah,3,0.085
schriftlichen,3,0.085
kontakt,3,0.085
kinder,2,0.057
hirten«,2,0.057
lich,2,0.057
forderungen,2,0.057
18.09.2015,2,0.057
erneut,2,0.057
auftrag,2,0.057
erteilt,2,0.057
gleichzeitig,2,0.057
einzusetzen,2,0.057
sachverhalts,2,0.057
bleibt,2,0.057
beraterstab,2,0.057
vereinbart,2,0.057
wirksam,2,0.057
besprochen,2,0.057
folgte,2,0.057
jahrelanger,2,0.057
anlass,2,0.057
briefwechsel,2,0.057
erinnerte,2,0.057
abmachungen,2,0.057
wiederum,2,0.057
reagierte,2,0.057
verspätet,2,0.057
folgejahren,2,0.057
pri-,2,0.057
kir-,2,0.057
vollen,2,0.057
massiven,2,0.057
damalige,2,0.057
jesuitenprovinzial,2,0.057
alfons,2,0.057
zung,2,0.057
dekret,2,0.057
beauftragt,2,0.057
entlassung,2,0.057
zuvor,2,0.057
veranlassung,2,0.057
verdacht,2,0.057
can,2,0.057
schließlich,2,0.057
ablösung,2,0.057
bistumsleitung,2,0.057
bestätigt,2,0.057
mitte,2,0.057
regelmäßig,2,0.057
betroffene,2,0.057
legt,2,0.057
betreffend,2,0.057
grenzverletzungen,2,0.057
deren,2,0.057
guter,2,0.057
verfehlungen,2,0.057
hirt,2,0.057
handelte,2,0.057
»nach,2,0.057
hannover,2,0.057
ruhestand,2,0.057
schriftliche,2,0.057
gutachten,2,0.057
