term,frequency,percentage
gemeinschaften,6,3.226
fälle,5,2.688
missbrauchs,4,2.151
sexuellen,4,2.151
orden,4,2.151
ähnlichen,3,1.613
frauengemeinschaften,3,1.613
liche,2,1.075
frauen,2,1.075
kirche,2,1.075
–,2,1.075
erwachsene,2,1.075
forschung,2,1.075
bislang,2,1.075
zahlen,2,1.075
deshalb,2,1.075
deren,2,1.075
missbräuche,2,1.075
erforschung,2,1.075
allerdings,2,1.075
ordens­,2,1.075
missbrauch,2,1.075
besonders,2,1.075
erwachsenen,1,0.538
anderweitig,1,0.538
problematisches,1,0.538
beziehungen,1,0.538
verhalten,1,0.538
dutzend,1,0.538
dossiers,1,0.538
fälle»,1,0.538
enthalten,1,0.538
boxen,1,0.538
«vertrauliche,1,0.538
mehrere,1,0.538
augen,1,0.538
männern,1,0.538
blieb,1,0.538
katholischen,1,0.538
umfeld,1,0.538
öf­,1,0.538
auftraten,1,0.538
präsentierten,1,0.538
provisorischen,1,0.538
unterrepräsentiert,1,0.538
feld,1,0.538
sexuellem,1,0.538
untersuchungsperiode,1,0.538
internationale,1,0.538
sowohl,1,0.538
verlauf,1,0.538
dokumentieren,1,0.538
sowie,1,0.538
ähnliche,1,0.538
besonderer,1,0.538
beachtung,1,0.538
bedarf,1,0.538
fentlichen,1,0.538
debatte,1,0.538
geist­,1,0.538
wenig,1,0.538
berücksichtigt,1,0.538
männ­,1,0.538
neue,1,0.538
in­,1,0.538
nerhalb,1,0.538
blieben,1,0.538
bewegungen.180,1,0.538
überwiegend,1,0.538
raum,1,0.538
fokussierte,1,0.538
betroffene,1,0.538
minderjährige,1,0.538
treten,1,0.538
betroffen,1,0.538
insbesondere,1,0.538
machtkonstellationen,1,0.538
spezifische,1,0.538
begünstigen,1,0.538
besondere,1,0.538
herausforde­,1,0.538
weiteres,1,0.538
deutet,1,0.538
schliesslich,1,0.538
vorhandenen,1,0.538
stellen,1,0.538
rungen,1,0.538
bereich,1,0.538
lücken,1,0.538
aufweisen,1,0.538
betrachtung,1,0.538
quellen,1,0.538
knapp,1,0.538
2,1,0.538
%,1,0.538
ausgewerteten,1,0.538
fanden,1,0.538
innerhalb,1,0.538
religiösen,1,0.538
viele,1,0.538
statt,1,0.538
wurden,1,0.538
zwei,1,0.538
weitere,1,0.538
probleme,1,0.538
offensicht­,1,0.538
lich,1,0.538
erachten,1,0.538
angelegenheit,1,0.538
betrifft,1,0.538
verorten,1,0.538
vorwie­,1,0.538
gend,1,0.538
männergemeinschaften,1,0.538
weltlichen,1,0.538
deutlich,1,0.538
priestern,1,0.538
an­,1,0.538
fällen,1,0.538
besitzen,1,0.538
tradition,1,0.538
schriftlichkeit,1,0.538
spärliche,1,0.538
ausführliche,1,0.538
ar­,1,0.538
chivbestände,1,0.538
einzig,1,0.538
hinzugezogen,1,0.538
sollizitation281,1,0.538
spiritual,1,0.538
mitglied,1,0.538
konsultierten,1,0.538
archiven,1,0.538
dokumentiert,1,0.538
beson­,1,0.538
ders,1,0.538
schweren,1,0.538
verstoss,1,0.538
katholische,1,0.538
kirchenrecht,1,0.538
darstellen.282,1,0.538
trotz,1,0.538
schwierigkeiten,1,0.538
sexuelle,1,0.538
untersuchen,1,0.538
grundsätzliches,1,0.538
forschungspotential,1,0.538
vorhanden,1,0.538
