term,frequency,percentage
welt,2,2.778
knien,2,2.778
dabei,2,2.778
–,2,2.778
frauen,2,2.778
spiritueller,2,2.778
missbrauch,2,2.778
pfarrer,1,1.389
haus,1,1.389
zurecht-,1,1.389
pflicht,1,1.389
hinzuweisen,1,1.389
geburt,1,1.389
lang,1,1.389
kind,1,1.389
jahr,1,1.389
kam,1,1.389
„öffentliche,1,1.389
jahre,1,1.389
1970er,1,1.389
folgte,1,1.389
zufolge,1,1.389
historikern,1,1.389
heimatpfarrei,1,1.389
aussegnung“,1,1.389
mussten,1,1.389
unrein,1,1.389
kirchentür,1,1.389
warten,1,1.389
hoch-,1,1.389
altar,1,1.389
gekommen,1,1.389
frau,1,1.389
beten,1,1.389
vorrutschen,1,1.389
zwang,1,1.389
verheiratete,1,1.389
viele,1,1.389
kinder,1,1.389
ehe,1,1.389
möglichst,1,1.389
katholisches,1,1.389
gesellschaftlich,1,1.389
akzeptiertes,1,1.389
befolgtes,1,1.389
moralgebot,1,1.389
zurückzuführen,1,1.389
bringen,1,1.389
somit,1,1.389
sechste,1,1.389
bezug,1,1.389
gebot,1,1.389
diktierte,1,1.389
berücksichtigen,1,1.389
wobei,1,1.389
fragen,1,1.389
unterricht,1,1.389
intime,1,1.389
»peinliche,1,1.389
handelte«,1,1.389
dinge,1,1.389
vorwürfe,1,1.389
wegen,1,1.389
spirituellen,1,1.389
missbrauchs,1,1.389
