term,frequency,percentage
16,7,11.29
jahren,5,8.065
alter,5,8.065
jahre,4,6.452
frau,3,4.839
14,2,3.226
alt,2,3.226
jünger,2,3.226
mädchen,2,3.226
1977,1,1.613
16-jähri-,1,1.613
jährigen,1,1.613
jahr,1,1.613
ges,1,1.613
geborene,1,1.613
ersten,1,1.613
übergriffe,1,1.613
hätten,1,1.613
bereits,1,1.613
ca,1,1.613
17,1,1.613
teilweise,1,1.613
dokumentiert,1,1.613
mehrheitlich,1,1.613
begonnen,1,1.613
lebensjahr,1,1.613
12,1,1.613
16-18,1,1.613
beginn,1,1.613
gibt,1,1.613
jedoch,1,1.613
beschuldigten,1,1.613
„verhältnisses“,1,1.613
gerade,1,1.613
geworden,1,1.613
zweier,1,1.613
16-jähriger,1,1.613
minderjähri­,1,1.613
gen,1,1.613
