term,frequency,percentage
mehr,4,5.714
kinder,2,2.857
möchte,2,2.857
nachdem,2,2.857
bleiben,2,2.857
bücherei,1,1.429
nie,1,1.429
bewusst,1,1.429
wählen,1,1.429
pfarrer,1,1.429
d.s,1,1.429
haus,1,1.429
seien,1,1.429
fertig,1,1.429
hingehen,1,1.429
kehr,1,1.429
rück-,1,1.429
meiden,1,1.429
gab,1,1.429
gegenüber,1,1.429
14-jährige,1,1.429
tochter,1,1.429
mutter,1,1.429
p,1,1.429
anton,1,1.429
nachgedacht,1,1.429
hildesheim,1,1.429
karin,1,1.429
b,1,1.429
vorfall,1,1.429
berlin,1,1.429
2006,1,1.429
besuchen,1,1.429
zurückzieht,1,1.429
kaum,1,1.429
begrüßen,1,1.429
mag,1,1.429
–,1,1.429
großmutter,1,1.429
auffällt,1,1.429
ablässt,1,1.429
entziehen,1,1.429
versucht,1,1.429
schützt,1,1.429
besu-,1,1.429
chen,1,1.429
darauf,1,1.429
achtet,1,1.429
alleine,1,1.429
möglichst,1,1.429
zimmer,1,1.429
schluss,1,1.429
dagegen,1,1.429
gewehrt,1,1.429
gesagt,1,1.429
aufhören,1,1.429
müsse,1,1.429
kindern,1,1.429
wie­,1,1.429
derkehrenden,1,1.429
besucher,1,1.429
tun,1,1.429
wollten,1,1.429
