term,frequency,percentage
treffen,3,2.256
p,2,1.504
–,2,1.504
anton,2,1.504
berührte,2,1.504
körper,2,1.504
jedoch,2,1.504
penis,2,1.504
druck,1,0.752
später,1,0.752
entsteht,1,0.752
gebunden,1,0.752
bürgerlichen,1,0.752
gesell-,1,0.752
schaftsordnung,1,0.752
positionierte,1,0.752
engagierter,1,0.752
kämpfer,1,0.752
belange,1,0.752
»armen,1,0.752
entrechte-,1,0.752
ten«,1,0.752
»gute«,1,0.752
gesetzt,1,0.752
eindruck,1,0.752
gewisser,1,0.752
weise,1,0.752
verführt,1,0.752
lebt,1,0.752
erhält,1,0.752
anerkennung,1,0.752
dafür,1,0.752
»antibürgerlichen«,1,0.752
weltsicht,1,0.752
stellt,1,0.752
kontext,1,0.752
beziehungs-,1,0.752
sexualverhalten,1,0.752
nimmt,1,0.752
heraus,1,0.752
weiß,1,0.752
verboten,1,0.752
bekennt,1,0.752
vermutlich,1,0.752
ja,1,0.752
kartoffeln,1,0.752
ginge,1,0.752
stehlen,1,0.752
helfen,1,0.752
etikett,1,0.752
anheftet,1,0.752
armen,1,0.752
»besonders,1,0.752
sozial«,1,0.752
überschreitet,1,0.752
ständiger,1,0.752
anklage,1,0.752
ungerechten,1,0.752
verhältnisse,1,0.752
außerhalb,1,0.752
ausnimmt,1,0.752
her-,1,0.752
recht,1,0.752
gemäß,1,0.752
weltverständnis,1,0.752
auszubeuten,1,0.752
erwachsene,1,0.752
minderjährige,1,0.752
dissozialität,1,0.752
umarmungen,1,0.752
wurden,1,0.752
im-,1,0.752
mer,1,0.752
deutlich,1,0.752
grenzen,1,0.752
junge,1,0.752
händen,1,0.752
t-shirt,1,0.752
hen,1,0.752
ge-,1,0.752
berühren,1,0.752
bekamen,1,0.752
sexuellen,1,0.752
handlungen,1,0.752
immer,1,0.752
steigerung,1,0.752
fanden,1,0.752
vier,1,0.752
jahre,1,0.752
intensiver,1,0.752
anfing,1,0.752
sexuell,1,0.752
anfangs,1,0.752
statt,1,0.752
lang,1,0.752
fing,1,0.752
führte,1,0.752
hand,1,0.752
beide,1,0.752
auszuziehen,1,0.752
befriedigen,1,0.752
geschlecht,1,0.752
rieb,1,0.752
weiteren,1,0.752
drang,1,0.752
fingern,1,0.752
scheide,1,0.752
vierten,1,0.752
jahr,1,0.752
ging,1,0.752
soweit,1,0.752
einge-,1,0.752
drungen,1,0.752
ver-,1,0.752
setzungen,1,0.752
trafen,1,0.752
weiterhin,1,0.752
holte,1,0.752
hause,1,0.752
ab,1,0.752
schenkte,1,0.752
zugtickets,1,0.752
besuchen,1,0.752
konnte,1,0.752
