term,frequency,percentage
frau,5,6.329
priester,3,3.797
räumte,3,3.797
mehrere,2,2.532
beziehungen,2,2.532
beschuldigte,2,2.532
sei,2,2.532
u,2,2.532
gen,1,1.266
damaligem,1,1.266
minderjährigen,1,1.266
jahrzehnte,1,1.266
später,1,1.266
einräumte,1,1.266
fakten,1,1.266
entscheidung,1,1.266
recht,1,1.266
sexuelle,1,1.266
weder,1,1.266
a,1,1.266
betroffenen,1,1.266
p,1,1.266
jugendlichen,1,1.266
geleugnet,1,1.266
bestätigt,1,1.266
version,1,1.266
t,1,1.266
hinsicht-,1,1.266
lich,1,1.266
vorfalls,1,1.266
berliner,1,1.266
hotelzimmer,1,1.266
führten,1,1.266
handlun-,1,1.266
deutlich,1,1.266
macht,1,1.266
abarti-,1,1.266
darin,1,1.266
ges«,1,1.266
gesehen,1,1.266
hinsichtlich,1,1.266
»nichts,1,1.266
gibt,1,1.266
umarmungen,1,1.266
jungen,1,1.266
unterstellt,1,1.266
wunsch,1,1.266
körperlicher,1,1.266
nähe,1,1.266
ausgegangen,1,1.266
verweist,1,1.266
schwere,1,1.266
kindheit,1,1.266
deutet,1,1.266
sexuellen,1,1.266
missbrauch,1,1.266
vater,1,1.266
deshalb,1,1.266
»psychisch,1,1.266
angeschlagen«,1,1.266
vorwürfe,1,1.266
rahmen,1,1.266
kir-,1,1.266
chenrechtlichen,1,1.266
ermittlungsverfahrens,1,1.266
geständig,1,1.266
