term,frequency,percentage
…,11,2.075
mädchen,9,1.698
jahre,7,1.321
mal,6,1.132
immer,6,1.132
priester,5,0.943
wurde,5,0.943
sei,5,0.943
sache,5,0.943
frau,4,0.755
gegeben,4,0.755
wann,4,0.755
müssen,4,0.755
frage,3,0.566
herrn,3,0.566
gut,3,0.566
hätte,3,0.566
weihbischof,3,0.566
weitere,3,0.566
schon,3,0.566
anfang,3,0.566
nie,3,0.566
beschuldigten,3,0.566
seite,3,0.566
melden,3,0.566
fall,2,0.377
haltung,2,0.377
2,2,0.377
1990er,2,0.377
umgang,2,0.377
b,2,0.377
can,2,0.377
erst,2,0.377
gemeldet,2,0.377
begonnen,2,0.377
gesprochen,2,0.377
weiteren,2,0.377
bitte,2,0.377
verhalten,2,0.377
cic,2,0.377
aufgrund,2,0.377
1970er,2,0.377
gibt,2,0.377
unterlagen,2,0.377
stellte,2,0.377
wegen,2,0.377
strafe,2,0.377
verfasser,2,0.377
anton,2,0.377
fandest,2,0.377
weit,2,0.377
gegangen,2,0.377
gesagt,2,0.377
nein,2,0.377
übergriffe,2,0.377
grunde,2,0.377
thema,2,0.377
kontext,2,0.377
angefangen,2,0.377
bestimmt,2,0.377
drei,2,0.377
vier,2,0.377
rahmen,2,0.377
gesprächs,2,0.377
gestellt,2,0.377
gekreist,2,0.377
hinweis,2,0.377
missbrauch,2,0.377
sagte,2,0.377
vorwürfe,2,0.377
gefragt,2,0.377
zusammenhang,2,0.377
18,2,0.377
alt,2,0.377
anschein,2,0.377
liegt,2,0.377
mißbrauch,2,0.377
d.h,2,0.377
rom,2,0.377
verjährt,2,0.377
ist.“,2,0.377
ein-,2,0.377
chen,2,0.377
worden,2,0.377
gemeinde,2,0.377
berührungen,2,0.377
völlig,2,0.377
frauen,2,0.377
ten,2,0.377
genommen,2,0.377
p,2,0.377
generalvikar,2,0.377
matzneller,2,0.377
fasste,1,0.189
glau-,1,0.189
benskongregation,1,0.189
folgt,1,0.189
zusammen,1,0.189
„auf,1,0.189
grund,1,0.189
alters,1,0.189
erinnerungen,1,0.189
einge-,1,0.189
schränkt,1,0.189
verdächtiges,1,0.189
priesters,1,0.189
religionsunterrichts,1,0.189
beigefügten,1,0.189
schuldirektion,1,0.189
ergebnis,1,0.189
über-,1,0.189
griffe,1,0.189
nachgewiesen,1,0.189
klage,1,0.189
zeit,1,0.189
ende,1,0.189
bischof,1,0.189
wilhelm,1,0.189
egger,1,0.189
folge,1,0.189
religionsunterreicht,1,0.189
entbunden,1,0.189
verdächtigungen,1,0.189
mitte,1,0.189
wor-,1,0.189
damals,1,0.189
rede,1,0.189
ermahnung,1,0.189
vorsicht,1,0.189
cfr,1,0.189
promemoria,1,0.189
v,1,0.189
„im,1,0.189
anschluss,1,0.189
gestrige,1,0.189
unterredung,1,0.189
betreffend,1,0.189
überlegt,1,0.189
klüger,1,0.189
brüderlicher,1,0.189
liebe,1,0.189
brief,1,0.189
schreibe,1,0.189
vertratscht,1,0.189
fühlt,1,0.189
zu-,1,0.189
gleich,1,0.189
bedeute,1,0.189
ändert,1,0.189
hochwst,1,0.189
ordinariate,1,0.189
sinne,1,0.189
daher,1,0.189
vorläufig,1,0.189
unternehmen.“,1,0.189
verhältnisses,1,0.189
16,1,0.189
jährigen,1,0.189
zornig,1,0.189
fragte,1,0.189
wer,1,0.189
darüber,1,0.189
wisse,1,0.189
hause,1,0.189
spioniere,1,0.189
überall,1,0.189
herum,1,0.189
verboten,1,0.189
ermahnte,1,0.189
aufzugeben,1,0.189
r,1,0.189
partner,1,0.189
gehabt,1,0.189
problemlos,1,0.189
leben,1,0.189
kannte,1,0.189
deutige,1,0.189
sünde,1,0.189
6,1,0.189
gebot,1,0.189
tatbestand,1,0.189
1395,1,0.189
§,1,0.189
vor(liegt,1,0.189
gerechte,1,0.189
vorsieht,1,0.189
enthebung,1,0.189
hält,1,0.189
pfar-,1,0.189
rers,1,0.189
hildesheim,1,0.189
guter,1,0.189
hirt,1,0.189
angemessen,1,0.189
ine,1,0.189
schrift-,1,0.189
liche,1,0.189
verwarnung,1,0.189
schriftlichen,1,0.189
verweis,1,0.189
aussprechen,1,0.189
1339,1,0.189
§§,1,0.189
1,1,0.189
untersuchung,1,0.189
schwerwiegenden,1,0.189
verdacht,1,0.189
moralischen,1,0.189
sicherheit,1,0.189
geführt,1,0.189
hat«,1,0.189
erinnerung,1,0.189
seinerzeit,1,0.189
1996,1,0.189
/,1,0.189
1997,1,0.189
unglücklicher,1,0.189
vorkommnisse,1,0.189
pfarrer,1,0.189
oft,1,0.189
länger,1,0.189
mitgeteilt,1,0.189
zulässig,1,0.189
unverzüglich,1,0.189
verlassen,1,0.189
irgendwelchen,1,0.189
besu-,1,0.189
zimmer,1,0.189
zurückzukommen,1,0.189
einladungen,1,0.189
winter,1,0.189
schlittenfahrten,1,0.189
selten,1,0.189
bekannt,1,0.189
begegnun-,1,0.189
gen,1,0.189
geben,1,0.189
„als,1,0.189
heße,1,0.189
zivil,1,0.189
vorliegt“,1,0.189
im-,1,0.189
mer,1,0.189
besonders,1,0.189
intelligent,1,0.189
deshalb,1,0.189
dummheiten,1,0.189
könne“,1,0.189
gefahr,1,0.189
beruf,1,0.189
kannst,1,0.189
erzbischof,1,0.189
