term,frequency,percentage
minderjährigen,8,15.385
mädchen,6,11.538
heutigem,2,3.846
recht,2,3.846
frauen,2,3.846
schulmädchen,2,3.846
minderjährige,2,3.846
jungen,2,3.846
betroffenen,2,3.846
erhebliche,1,1.923
zahl,1,1.923
kindern,1,1.923
schulkinder,1,1.923
kinder,1,1.923
schüler,1,1.923
kleinen,1,1.923
größeren,1,1.923
messdienerinnen,1,1.923
n,1,1.923
hinsichtlich,1,1.923
unkenntnis,1,1.923
tathergangs,1,1.923
in-,1,1.923
tensität,1,1.923
konkreten,1,1.923
„übergriffe“,1,1.923
alter,1,1.923
18,1,1.923
jahren,1,1.923
mitschülerinnen,1,1.923
10,1,1.923
klasse,1,1.923
mitschülerin,1,1.923
