term,frequency,percentage
wurde,2,5.128
akten,1,2.564
darauf,1,2.564
zeit,1,2.564
weiteren,1,2.564
weisen,1,2.564
vorfällen,1,2.564
gekommen,1,2.564
verleumdung,1,2.564
sei,1,2.564
p.s,1,2.564
mexikanische,1,2.564
mutter,1,2.564
anton,1,2.564
pfarrer,1,2.564
aussagegenehmigung,1,2.564
staatsanwaltliche,1,2.564
ermittlungsverfahren,1,2.564
erteilt,1,2.564
ver-,1,2.564
halten,1,2.564
sexueller,1,2.564
missbrauch,1,2.564
eingeordnet,1,2.564
leiterin,1,2.564
kinderheims,1,2.564
katholische,1,2.564
ordensschwester,1,2.564
keinerlei,1,2.564
informationen,1,2.564
vermutungen,1,2.564
be­,1,2.564
züglich,1,2.564
möglicher,1,2.564
übergriffe,1,2.564
priester,1,2.564
bestätigten,1,2.564
konnte,1,2.564
