term,frequency,percentage
sei,8,6.723
priester,3,2.521
mädchen,3,2.521
beschuldigte,3,2.521
vorwürfe,3,2.521
erlaubnis,2,1.681
verhalten,2,1.681
pfar-,1,0.84
vereinzelt,1,0.84
rer,1,0.84
erinnern,1,0.84
verspätet,1,0.84
„keine,1,0.84
gab,1,0.84
40,1,0.84
jahre,1,0.84
zähle,1,0.84
zurücklägen,1,0.84
sic,1,0.84
„vermeintlichen,1,0.84
vorfälle“,1,0.84
ahnung“,1,0.84
probleme,1,0.84
viele,1,0.84
weihnachten,1,0.84
hätten,1,0.84
aussprachen,1,0.84
ausgebucht,1,0.84
zuvor,1,0.84
gefragt,1,0.84
tun,1,0.84
erhalten,1,0.84
gegangen,1,0.84
bewusstsein,1,0.84
geholfen,1,0.84
herum,1,0.84
reagierte,1,0.84
wiederum,1,0.84
überrascht,1,0.84
mehr,1,0.84
umso,1,0.84
vorgeworfen,1,0.84
betroffenen,1,0.84
werfe,1,0.84
großes,1,0.84
gewollt,1,0.84
eltern,1,0.84
gleich,1,0.84
polizei,1,0.84
gelaufen,1,0.84
seien,1,0.84
anstatt,1,0.84
wohl,1,0.84
missverständnis,1,0.84
heiligen,1,0.84
sprechen,1,0.84
abend,1,0.84
wolle,1,0.84
reichen,1,0.84
eindruck,1,0.84
hand,1,0.84
versöhnung,1,0.84
schwul,1,0.84
vermittelte,1,0.84
wies,1,0.84
bekannt,1,0.84
anzeigenerstatterin,1,0.84
bereits,1,0.84
vergangenheit,1,0.84
deren,1,0.84
unbegründete,1,0.84
mehrere,1,0.84
erhoben,1,0.84
personen,1,0.84
erhobenen,1,0.84
zurückgewiesen,1,0.84
r,1,0.84
ie,1,0.84
liebe,1,0.84
eh,1,0.84
niemand,1,0.84
glauben,1,0.84
ja,1,0.84
verliebt,1,0.84
gibt,1,0.84
erklärte,1,0.84
alter,1,0.84
16-18,1,0.84
s,1,0.84
jahren,1,0.84
jedoch,1,0.84
nie,1,0.84
geschlechtsverkehr,1,0.84
gekommen,1,0.84
erklärt,1,0.84
vorgehabt,1,0.84
bibel,1,0.84
vorzulesen,1,0.84
rechtfertigte,1,0.84
stellte,1,0.84
kontext,1,0.84
zeit,1,0.84
