term,frequency,percentage
diakon,3,5.0
n,3,5.0
dinge,2,3.333
anton,2,3.333
p,2,3.333
zuständigen,1,1.667
warnte,1,1.667
pfarrer,1,1.667
anvertraute,1,1.667
besonders,1,1.667
intelligent,1,1.667
kooperator,1,1.667
„nicht,1,1.667
deshalb,1,1.667
sei,1,1.667
dummheiten,1,1.667
könne“,1,1.667
richtet,1,1.667
kar,1,1.667
generalvi-,1,1.667
damalige,1,1.667
domkapitular,1,1.667
brief,1,1.667
3.08.2002,1,1.667
holst,1,1.667
berichtet,1,1.667
weis,1,1.667
wonach,1,1.667
hin-,1,1.667
jugendfreizeit,1,1.667
frankreich,1,1.667
spanien,1,1.667
por-,1,1.667
tugal,1,1.667
durchgeführt,1,1.667
wirft,1,1.667
dreiwöchige,1,1.667
zusammenhang,1,1.667
frage,1,1.667
verantworten,1,1.667
»wer,1,1.667
resigniert,1,1.667
äußert,1,1.667
»aber,1,1.667
will?«,1,1.667
wahrscheinlich,1,1.667
mahne,1,1.667
vergeblich,1,1.667
hätte,1,1.667
wohl,1,1.667
chance,1,1.667
mehr,1,1.667
durchzuführen.«,1,1.667
