term,frequency,percentage
p,3,4.054
anton,3,4.054
wohl,2,2.703
»nach,2,2.703
gesprächen,2,2.703
domkapitular,2,2.703
–,2,2.703
zurück,2,2.703
abflug,1,1.351
wochen,1,1.351
mexiko,1,1.351
aufgegeben,1,1.351
folge,1,1.351
praxis,1,1.351
betroffener,1,1.351
klare,1,1.351
versetzung,1,1.351
bat,1,1.351
unmittelbarer,1,1.351
exklaustration,1,1.351
langen,1,1.351
gespräch,1,1.351
erneut,1,1.351
werner,1,1.351
dr,1,1.351
bischof,1,1.351
vielen,1,1.351
homeyer,1,1.351
weiterführenden,1,1.351
hr,1,1.351
einzelner,1,1.351
aussagen,1,1.351
bitte,1,1.351
holst,1,1.351
nunmehr,1,1.351
entlassung,1,1.351
option,1,1.351
dienst,1,1.351
gesellschaft,1,1.351
jesu,1,1.351
aufgenommen,1,1.351
werden.«,1,1.351
holst«,1,1.351
darum,1,1.351
gebeten,1,1.351
»aus,1,1.351
diözese,1,1.351
hildesheim,1,1.351
gründen«,1,1.351
persönlichen,1,1.351
gab,1,1.351
beurlaubt,1,1.351
dokument,1,1.351
angst,1,1.351
präventionsbeauftragte,1,1.351
beschuldigte,1,1.351
arbeitsbereich,1,1.351
missbrauchsbeauftragte45,1,1.351
weiterleitete,1,1.351
trat,1,1.351
rücktritt,1,1.351
zog,1,1.351
kirchlichen,1,1.351
arbeit,1,1.351
