term,frequency,percentage
frauen,13,18.056
volljährigen,9,12.5
erwachsene,7,9.722
frau,3,4.167
recht,3,4.167
minderjährigen,3,4.167
erwachsenen,3,4.167
volljährig,2,2.778
zwei,2,2.778
damaligem,2,2.778
jungen,2,2.778
wachsenen,1,1.389
maligem,1,1.389
er-,1,1.389
erwachsenenalter,1,1.389
21,1,1.389
jahre,1,1.389
da-,1,1.389
alt,1,1.389
gerade,1,1.389
volljährige,1,1.389
schülerin,1,1.389
damals,1,1.389
18-jährigen,1,1.389
alter,1,1.389
18,1,1.389
jahren,1,1.389
postpubertären,1,1.389
erwachse­,1,1.389
nen,1,1.389
personen,1,1.389
person,1,1.389
fr,1,1.389
rauen,1,1.389
