term,frequency,percentage
sexuellen,16,7.583
missbrauch,10,4.739
sexueller,9,4.265
übergriff,9,4.265
missbrauchs,8,3.791
sexuell,7,3.318
sexuelle,6,2.844
übergriffe,5,2.37
gewalt,4,1.896
frauen,3,1.422
sexualisierte,3,1.422
grenzverletzungen,3,1.422
missbraucht,3,1.422
sexuellem,3,1.422
missbrauchsvorwürfe,2,0.948
priester,2,0.948
schwierigkeiten,2,0.948
minderjährigen,2,0.948
sexualisierter,2,0.948
vorwürfe,2,0.948
xuellen,2,0.948
übergriffig,2,0.948
kontakte,2,0.948
gekommen,2,0.948
se-,2,0.948
nahe,2,0.948
sexualisierten,2,0.948
handlungen,2,0.948
mädchen,2,0.948
priesters,2,0.948
brauch,2,0.948
miss-,2,0.948
fälle,2,0.948
verhalten,2,0.948
sei,1,0.474
nachdem,1,0.474
zurückhaltend“,1,0.474
wenig,1,0.474
jugend,1,0.474
„weiblichen,1,0.474
genüber,1,0.474
ge-,1,0.474
halte,1,0.474
abstand“,1,0.474
absicht,1,0.474
genähert,1,0.474
ei-,1,0.474
ner,1,0.474
recht,1,0.474
damaligem,1,0.474
frau,1,0.474
„zuwenig,1,0.474
ver-,1,0.474
„unverschämt[en,1,0.474
unangemessenen,1,0.474
kontakt,1,0.474
ellen,1,0.474
12jäh-,1,0.474
11-,1,0.474
sexu-,1,0.474
missbrauchshandlungen,1,0.474
rigen,1,0.474
„hang,1,0.474
weiblichen,1,0.474
geschlecht,1,0.474
einfach,1,0.474
verbergen“,1,0.474
könne,1,0.474
missbräuchlicher,1,0.474
gegeben,1,0.474
jedoch,1,0.474
behandlung,1,0.474
gekommen«,1,0.474
missbrauchstäter,1,0.474
homosexuelle,1,0.474
belästigt,1,0.474
anbefohlenen,1,0.474
jungen,1,0.474
halten[s]“,1,0.474
»sehr,1,0.474
nah«,1,0.474
massive,1,0.474
xuell,1,0.474
gegenüber,1,0.474
aufdringlichkeiten,1,0.474
vorhergehenden,1,0.474
ausbeutete,1,0.474
lisierten,1,0.474
übergriffen,1,0.474
exua-,1,0.474
p,1,0.474
anton,1,0.474
kontakten,1,0.474
ersten,1,0.474
verfehlungen,1,0.474
minderjähriger,1,0.474
brauchs,1,0.474
schulalltag,1,0.474
anderweitig,1,0.474
besuchen,1,0.474
problematisches,1,0.474
beziehungen,1,0.474
erwachsenen,1,0.474
männern,1,0.474
miss­,1,0.474
schweren,1,0.474
missbräuchen,1,0.474
se­,1,0.474
begangen,1,0.474
erlebte,1,0.474
grenzüberschreitendem,1,0.474
erwachsenenalter,1,0.474
kinderheim,1,0.474
missbräuchliches,1,0.474
ver­,1,0.474
halten,1,0.474
