term,frequency,percentage
müssen,3,5.263
hätten,2,3.509
hätte,2,3.509
bongartz,1,1.754
wb,1,1.754
ermittlungsbehörden,1,1.754
textpassage,1,1.754
zuzustimmen,1,1.754
weitergehende,1,1.754
nachforschungen,1,1.754
geben,1,1.754
ermittelnde,1,1.754
anlass,1,1.754
strafverfolgungsbehörde,1,1.754
wiederum,1,1.754
genauer,1,1.754
lektüre,1,1.754
protokolls,1,1.754
hinweise,1,1.754
weitere,1,1.754
delikte,1,1.754
beschuldigten,1,1.754
erkennen,1,1.754
weiterführende,1,1.754
recher-,1,1.754
chen,1,1.754
sinne,1,1.754
angemessenen,1,1.754
bewertung,1,1.754
sachverhalts,1,1.754
erforderlich,1,1.754
gemacht,1,1.754
staatsanwaltschaft,1,1.754
mel-,1,1.754
et,1,1.754
bistum,1,1.754
ermittlungsergebnissen,1,1.754
nachfragen,1,1.754
hin-,1,1.754
sichtlich,1,1.754
frage,1,1.754
chat-protokollen,1,1.754
strafbares,1,1.754
verhalten,1,1.754
er-,1,1.754
gebe,1,1.754
wurde,1,1.754
fachanwältin,1,1.754
strafrecht,1,1.754
konsultiert,1,1.754
verneinte,1,1.754
strafbaren,1,1.754
inhalt,1,1.754
